	(1)	(2)	(3)
VARIABLES	schappy_z	schappy_z	schappy_z
			
m_carpooling_spouse	0.991***	0.991***	0.991***
	(0.686)	(0.686)	(0.686)
state_4	1.349	1.349	1.349
	(0.976)	(0.976)	(0.976)
state_5	-0.099	-0.099	-0.099
	(0.585)	(0.585)	(0.585)
state_6	-0.633	-0.633	-0.633
	(0.640)	(0.640)	(0.640)
state_7	-0.782	-0.782	-0.782
	(0.658)	(0.658)	(0.658)
state_8	1.820	1.820	1.820
	(1.534)	(1.534)	(1.534)
state_9	0.370	0.370	0.370
	(1.870)	(1.870)	(1.870)
state_10	-0.096	-0.096	-0.096
	(0.624)	(0.624)	(0.624)
state_11	0.216	0.216	0.216
	(0.660)	(0.660)	(0.660)
state_12	1.550	1.550	1.550
	(1.153)	(1.153)	(1.153)
state_13	-0.991	-0.991	-0.991
	(0.697)	(0.697)	(0.697)
state_14	0.274	0.274	0.274
	(0.635)	(0.635)	(0.635)
state_15	-0.182	-0.182	-0.182
	(0.679)	(0.679)	(0.679)
state_16	-0.156	-0.156	-0.156
	(0.700)	(0.700)	(0.700)
state_17	-0.326	-0.326	-0.326
	(0.659)	(0.659)	(0.659)
state_18	-0.176	-0.176	-0.176
	(0.886)	(0.886)	(0.886)
state_19	0.607	0.607	0.607
	(1.072)	(1.072)	(1.072)
state_20	-1.476	-1.476	-1.476
	(1.326)	(1.326)	(1.326)
state_21	0.204	0.204	0.204
	(0.668)	(0.668)	(0.668)
state_22	-0.089	-0.089	-0.089
	(0.610)	(0.610)	(0.610)
state_23	0.047	0.047	0.047
	(0.646)	(0.646)	(0.646)
state_24	0.194	0.194	0.194
	(0.646)	(0.646)	(0.646)
state_25	0.154	0.154	0.154
	(0.893)	(0.893)	(0.893)
state_26	-0.202	-0.202	-0.202
	(0.643)	(0.643)	(0.643)
state_27	-0.570	-0.570	-0.570
	(0.743)	(0.743)	(0.743)
state_28	-0.426	-0.426	-0.426
	(0.793)	(0.793)	(0.793)
state_29	0.577	0.577	0.577
	(0.813)	(0.813)	(0.813)
state_30	1.673*	1.673*	1.673*
	(0.897)	(0.897)	(0.897)
state_31	-0.727	-0.727	-0.727
	(0.689)	(0.689)	(0.689)
state_32	-0.015	-0.015	-0.015
	(1.036)	(1.036)	(1.036)
state_33	-0.356	-0.356	-0.356
	(0.620)	(0.620)	(0.620)
state_34	0.239	0.239	0.239
	(0.605)	(0.605)	(0.605)
state_35	0.438	0.438	0.438
	(0.789)	(0.789)	(0.789)
state_36	-0.029	-0.029	-0.029
	(0.635)	(0.635)	(0.635)
state_37	0.354	0.354	0.354
	(0.801)	(0.801)	(0.801)
state_38	0.116	0.116	0.116
	(0.615)	(0.615)	(0.615)
state_39	0.059	0.059	0.059
	(0.625)	(0.625)	(0.625)
state_40	-0.207	-0.207	-0.207
	(0.769)	(0.769)	(0.769)
state_41	0.072	0.072	0.072
	(0.681)	(0.681)	(0.681)
state_42	0.537	0.537	0.537
	(0.700)	(0.700)	(0.700)
state_43	-0.622	-0.622	-0.622
	(0.652)	(0.652)	(0.652)
state_44	0.277	0.277	0.277
	(0.597)	(0.597)	(0.597)
state_45	0.131	0.131	0.131
	(0.803)	(0.803)	(0.803)
state_46	1.168*	1.168*	1.168*
	(0.621)	(0.621)	(0.621)
state_47	0.273	0.273	0.273
	(0.640)	(0.640)	(0.640)
state_48	-0.195	-0.195	-0.195
	(0.616)	(0.616)	(0.616)
state_49	2.442**	2.442**	2.442**
	(1.156)	(1.156)	(1.156)
state_50	0.267	0.267	0.267
	(0.671)	(0.671)	(0.671)
o.state_51	-	-	-
			
year_1	-0.065	-0.065	-0.065
	(0.198)	(0.198)	(0.198)
year_2	-0.261	-0.261	-0.261
	(0.199)	(0.199)	(0.199)
year_3	0.104	0.104	0.104
	(0.214)	(0.214)	(0.214)
o.year_4	-	-	-
			
month_1	-0.212	-0.212	-0.212
	(0.272)	(0.272)	(0.272)
month_2	-0.365	-0.365	-0.365
	(0.278)	(0.278)	(0.278)
month_3	0.151	0.151	0.151
