	(1)	(2)	(3)	(4)	(5)
VARIABLES	schappy_z	schappy_z	schappy_z	schappy_z	schappy_z
					
m_carpooling_spouse			0.778**		0.784**
	(0.578)	(0.461)	(0.466)	(0.466)	(0.472)
state_6	-0.666	-0.813	-0.812	-0.803	-0.801
	(0.632)	(0.515)	(0.518)	(0.517)	(0.520)
state_7	-0.800	-1.295**	-1.275**	-1.284**	-1.264**
	(0.649)	(0.612)	(0.621)	(0.615)	(0.624)
state_8	1.797	0.781	0.793	0.800	0.813
	(1.534)	(1.666)	(1.662)	(1.664)	(1.660)
state_9	0.370	-0.579	-0.566	-0.583	-0.571
	(1.885)	(1.142)	(1.144)	(1.139)	(1.142)
state_10	-0.115	-0.873*	-0.862*	-0.858*	-0.846*
	(0.618)	(0.485)	(0.489)	(0.489)	(0.493)
state_11	0.207	-0.480	-0.477	-0.469	-0.466
	(0.654)	(0.554)	(0.557)	(0.558)	(0.562)
state_12	1.530	3.188	3.192	3.238	3.242
	(1.154)	(1.963)	(1.972)	(1.990)	(1.998)
state_13	-0.974	-0.929	-0.947	-0.926	-0.944
	(0.689)	(0.758)	(0.764)	(0.757)	(0.763)
state_14	0.247	-0.399	-0.378	-0.405	-0.384
	(0.627)	(0.519)	(0.524)	(0.521)	(0.526)
state_15	-0.198	-0.793	-0.785	-0.784	-0.776
	(0.673)	(0.519)	(0.524)	(0.523)	(0.529)
state_16	-0.209	-0.622	-0.596	-0.612	-0.586
	(0.696)	(0.508)	(0.505)	(0.514)	(0.512)
state_17	-0.322	-1.033	-1.049	-1.027	-1.043
	(0.652)	(0.640)	(0.645)	(0.644)	(0.650)
state_18	-0.162	-0.683	-0.686	-0.679	-0.683
	(0.865)	(0.841)	(0.862)	(0.846)	(0.867)
state_19	0.580	0.733	0.762	0.750	0.779
	(1.080)	(1.248)	(1.238)	(1.255)	(1.245)
state_20	-1.483	-1.015	-1.011	-1.013	-1.008
	(1.327)	(0.720)	(0.718)	(0.722)	(0.720)
state_21	0.170	-0.334	-0.312	-0.337	-0.315
	(0.662)	(0.540)	(0.542)	(0.543)	(0.546)
state_22	-0.101	-1.193**	-1.185**	-1.177**	-1.169**
	(0.605)	(0.488)	(0.492)	(0.493)	(0.497)
state_23	0.043	-0.378	-0.382	-0.370	-0.374
	(0.641)	(0.489)	(0.493)	(0.493)	(0.497)
state_24	0.162	-0.040	-0.021	-0.040	-0.022
	(0.636)	(0.502)	(0.510)	(0.508)	(0.517)
state_25	0.109	-0.609	-0.583	-0.614	-0.589
	(0.887)	(0.885)	(0.899)	(0.882)	(0.896)
state_26	-0.186	-0.522	-0.531	-0.511	-0.521
	(0.640)	(0.492)	(0.493)	(0.497)	(0.498)
state_27	-0.695	-1.393***	-1.418***	-1.397***	-1.419***
	(0.714)	(0.503)	(0.546)	(0.507)	(0.550)
state_28	-0.441	-0.865	-0.856	-0.874	-0.864
	(0.784)	(0.549)	(0.556)	(0.557)	(0.564)
state_29	0.524	0.216	0.254	0.229	0.267
	(0.789)	(0.585)	(0.594)	(0.588)	(0.598)
